Date,Time,Consumption,Wind,Solar
2006-11-17,00:34:01.310990,1478.0950000000005,,
2006-11-18,01:34:01.310990,1270.7199999999998,,
2006-11-19,02:34:01.310990,1168.114,,
2006-11-20,03:34:01.310990,1509.7119999999995,,
2006-11-21,04:34:01.310990,1521.7780000000005,,
2006-11-22,05:34:01.310990,1512.51,,
2006-11-23,06:34:01.310990,1552.044,,
2006-11-24,07:34:01.310990,1494.0879999999995,,
2006-11-25,08:34:01.310990,1304.453,,
2006-11-26,09:34:01.310990,1155.541,,
2006-11-27,10:34:01.310990,1486.959,,
2006-11-28,11:34:01.310990,1520.421,,
2006-11-29,12:34:01.310990,1532.762,,
2006-11-30,13:34:01.310990,1531.5250000000003,,
2006-12-01,14:34:01.310990,1518.198,,
2006-12-02,15:34:01.310990,1332.812,,
2006-12-03,16:34:01.310990,1214.524,,
2006-12-04,17:34:01.310990,1548.124,,
2006-12-05,18:34:01.310990,1569.4800000000002,,
2006-12-06,19:34:01.310990,1545.3,,
2006-12-07,20:34:01.310990,1566.1240000000005,,
2006-12-08,21:34:01.310990,1549.6809999999998,,
2006-12-09,22:34:01.310990,1305.841,,
2006-12-10,23:34:01.310990,1194.85,,
2006-12-11,00:34:01.310990,1578.9830000000002,,
2006-12-12,01:34:01.310990,1561.264,,
2006-12-13,02:34:01.310990,1590.0090000000002,,
2006-12-14,03:34:01.310990,1593.613,,
2006-12-15,04:34:01.310990,1543.073,,
2006-12-16,05:34:01.310990,1349.1809999999998,,
2006-12-17,06:34:01.310990,1220.1880000000003,,
2006-12-18,07:34:01.310990,1514.852,,
2006-12-19,08:34:01.310990,1525.6670000000004,,
2006-12-20,09:34:01.310990,1527.593,,
2006-12-21,10:34:01.310990,1475.71,,
2006-12-22,11:34:01.310990,1391.5790000000002,,
2006-12-23,12:34:01.310990,1235.6880000000003,,
2006-12-24,13:34:01.310990,1099.201,,
2006-12-25,14:34:01.310990,1072.746,,
2006-12-26,15:34:01.310990,1075.9220000000005,,
2006-12-27,16:34:01.310990,1284.676,,
2006-12-28,17:34:01.310990,1314.6029999999998,,
2006-12-29,18:34:01.310990,1274.646,,
2006-12-30,19:34:01.310990,1237.751,,
2006-12-31,20:34:01.310990,1144.398,,
2007-01-01,21:34:01.310990,1128.8429999999998,,
2007-01-02,22:34:01.310990,1416.669,,
2007-01-03,23:34:01.310990,1471.586,,
2007-01-04,00:34:01.310990,1514.823,,
2007-01-05,01:34:01.310990,1484.168,,
2007-01-06,02:34:01.310990,1249.6629999999998,,
2007-01-07,03:34:01.310990,1173.687,,
2007-01-08,04:34:01.310990,1510.0130000000004,,
2007-01-09,05:34:01.310990,1554.889,,
2007-01-10,06:34:01.310990,1556.1219999999998,,
2007-01-11,07:34:01.310990,1596.639,,
2007-01-12,08:34:01.310990,1567.4529999999995,,
2007-01-13,09:34:01.310990,1350.8860000000004,,
2007-01-14,10:34:01.310990,1250.781,,
2007-01-15,11:34:01.310990,1518.88,,
2007-01-16,12:34:01.310990,1550.792,,
2007-01-17,13:34:01.310990,1564.2200000000005,,
2007-01-18,14:34:01.310990,1544.3240000000003,,
2007-01-19,15:34:01.310990,1533.3469999999998,,
2007-01-20,16:34:01.310990,1344.002,,
2007-01-21,17:34:01.310990,1257.5210000000002,,
2007-01-22,18:34:01.310990,1544.1819999999998,,
2007-01-23,19:34:01.310990,1550.7099999999996,,
2007-01-24,20:34:01.310990,1582.538,,
2007-01-25,21:34:01.310990,1580.2329999999995,,
2007-01-26,22:34:01.310990,1632.5869999999995,,
2007-01-27,23:34:01.310990,1392.674,,
2007-01-28,00:34:01.310990,1321.527,,
2007-01-29,01:34:01.310990,1564.3830000000005,,
2007-01-30,02:34:01.310990,1572.6550000000004,,
2007-01-31,03:34:01.310990,1598.002,,
2007-02-01,04:34:01.310990,1531.493,,
2007-02-02,05:34:01.310990,1523.7810000000002,,
2007-02-03,06:34:01.310990,1335.6460000000002,,
2007-02-04,07:34:01.310990,1204.853,,
2007-02-05,08:34:01.310990,1484.894,,
2007-02-06,09:34:01.310990,1545.558,,
2007-02-07,10:34:01.310990,1572.704,,
2007-02-08,11:34:01.310990,1571.158,,
2007-02-09,12:34:01.310990,1549.471,,
2007-02-10,13:34:01.310990,1361.3160000000005,,
2007-02-11,14:34:01.310990,1215.2850000000003,,
2007-02-12,15:34:01.310990,1464.0800000000004,,
2007-02-13,16:34:01.310990,1526.1389999999997,,
2007-02-14,17:34:01.310990,1529.17,,
2007-02-15,18:34:01.310990,1512.0,,
2007-02-16,19:34:01.310990,1485.307,,
2007-02-17,20:34:01.310990,1302.7399999999998,,
2007-02-18,21:34:01.310990,1180.3179999999998,,
2007-02-19,22:34:01.310990,1375.764,,
2007-02-20,23:34:01.310990,1451.475,,
2007-02-21,00:34:01.310990,1502.4390000000003,,
2007-02-22,01:34:01.310990,1484.7690000000002,,
2007-02-23,02:34:01.310990,1478.803,,
2007-02-24,03:34:01.310990,1320.029,,
2007-02-25,04:34:01.310990,1190.847,,
2007-02-26,05:34:01.310990,1449.9649999999997,,
2007-02-27,06:34:01.310990,1510.0689999999995,,
2007-02-28,07:34:01.310990,1505.4889999999998,,
2007-03-01,08:34:01.310990,1524.8130000000003,,
2007-03-02,09:34:01.310990,1508.97,,
2007-03-03,10:34:01.310990,1278.173,,
2007-03-04,11:34:01.310990,1138.079,,
2007-03-05,12:34:01.310990,1487.333,,
2007-03-06,13:34:01.310990,1500.4669999999996,,
2007-03-07,14:34:01.310990,1479.223,,
2007-03-08,15:34:01.310990,1468.357,,
2007-03-09,16:34:01.310990,1453.935,,
2007-03-10,17:34:01.310990,1256.174,,
2007-03-11,18:34:01.310990,1128.501,,
2007-03-12,19:34:01.310990,1413.0700000000002,,
2007-03-13,20:34:01.310990,1438.877,,
2007-03-14,21:34:01.310990,1439.504,,
